2023-11-06 10:23:37.7808–TRACE–2023/11/06 10:23:35:2101| 0| COM85| S |FA57000200
2023-11-06 10:23:46.2333–TRACE–2023/11/06 10:23:46:2330| 0| COM85| S |FA57000200
2023-11-06 10:24:30.0410–TRACE–2023/11/06 10:24:10:3049| 0| COM85| S |FA57000200
2023-11-06 10:24:59.1741–TRACE–2023/11/06 10:24:59:1691| 0| COM85| S |FA57000200
2023-11-06 10:25:00.1025–TRACE–2023/11/06 10:25:00:0993| 0| COM85| S |FA57000200
2023-11-06 10:25:00.4254–TRACE–2023/11/06 10:25:00:4252| 0| COM85| S |FA57000200
2023-11-06 10:25:00.6373–TRACE–2023/11/06 10:25:00:6372| 0| COM85| S |FA57000200
2023-11-06 10:25:00.8229–TRACE–2023/11/06 10:25:00:8227| 0| COM85| S |FA57000200
2023-11-06 10:25:00.9976–TRACE–2023/11/06 10:25:00:9969| 0| COM85| S |FA57000200
2023-11-06 10:25:24.9862–TRACE–2023/11/06 10:25:24:9859| 0| COM85| S |FA57000200
2023-11-06 10:25:25.1702–TRACE–2023/11/06 10:25:25:1674| 0| COM85| S |FA57000200
2023-11-06 10:25:25.3452–TRACE–2023/11/06 10:25:25:3450| 0| COM85| S |FA57000200
2023-11-06 10:25:25.5309–TRACE–2023/11/06 10:25:25:5305| 0| COM85| S |FA57000200
2023-11-06 10:25:25.7071–TRACE–2023/11/06 10:25:25:7069| 0| COM85| S |FA57000200
2023-11-06 10:25:25.8859–TRACE–2023/11/06 10:25:25:8858| 0| COM85| S |FA57000200
2023-11-06 10:25:26.0611–TRACE–2023/11/06 10:25:26:0610| 0| COM85| S |FA57000200
2023-11-06 10:27:17.9524–TRACE–2023/11/06 10:27:11:7615| 0| COM85| S |FA57000200
2023-11-06 10:27:27.5020–TRACE–2023/11/06 10:27:27:5018| 0| COM85| S |FA57000200
2023-11-06 10:27:27.6779–TRACE–2023/11/06 10:27:27:6777| 0| COM85| S |FA57000200
2023-11-06 10:27:27.8506–TRACE–2023/11/06 10:27:27:8503| 0| COM85| S |FA57000200
2023-11-06 10:27:28.0176–TRACE–2023/11/06 10:27:28:0173| 0| COM85| S |FA57000200
2023-11-06 10:27:28.1974–TRACE–2023/11/06 10:27:28:1972| 0| COM85| S |FA57000200
2023-11-06 10:27:28.3839–TRACE–2023/11/06 10:27:28:3837| 0| COM85| S |FA57000200
2023-11-06 10:27:28.5701–TRACE–2023/11/06 10:27:28:5699| 0| COM85| S |FA57000200
2023-11-06 10:27:28.7626–TRACE–2023/11/06 10:27:28:7624| 0| COM85| S |FA57000200
2023-11-06 10:27:28.9509–TRACE–2023/11/06 10:27:28:9508| 0| COM85| S |FA57000200
2023-11-06 10:27:29.1279–TRACE–2023/11/06 10:27:29:1278| 0| COM85| S |FA57000200
2023-11-06 10:27:29.8837–TRACE–2023/11/06 10:27:29:8831| 0| COM85| S |FA57000200
2023-11-06 10:27:30.3180–TRACE–2023/11/06 10:27:30:3178| 0| COM85| S |FA57000200
2023-11-06 10:27:30.4990–TRACE–2023/11/06 10:27:30:4987| 0| COM85| S |FA57000200
2023-11-06 10:27:30.6772–TRACE–2023/11/06 10:27:30:6771| 0| COM85| S |FA57000200
2023-11-06 10:51:45.9288–TRACE–2023/11/06 10:51:45:2163| 0| COM85| S |FA57000201
2023-11-06 10:52:06.8893–TRACE–2023/11/06 10:52:06:8627| 0| COM85| S |FA57000201
2023-11-06 10:52:09.8507–TRACE–2023/11/06 10:52:09:8493| 0| COM85| S |FA57000201
2023-11-06 10:52:10.0379–TRACE–2023/11/06 10:52:10:0311| 0| COM85| S |FA57000201
2023-11-06 10:52:10.2007–TRACE–2023/11/06 10:52:10:1992| 0| COM85| S |FA57000201
2023-11-06 10:52:10.3645–TRACE–2023/11/06 10:52:10:3633| 0| COM85| S |FA57000201
2023-11-06 10:52:10.5251–TRACE–2023/11/06 10:52:10:5236| 0| COM85| S |FA57000201
2023-11-06 10:52:10.6792–TRACE–2023/11/06 10:52:10:6771| 0| COM85| S |FA57000201
2023-11-06 10:52:10.8430–TRACE–2023/11/06 10:52:10:8413| 0| COM85| S |FA57000201
2023-11-06 10:52:10.9792–TRACE–2023/11/06 10:52:10:9778| 0| COM85| S |FA57000201
2023-11-06 10:52:11.1329–TRACE–2023/11/06 10:52:11:1316| 0| COM85| S |FA57000201
2023-11-06 10:52:11.2882–TRACE–2023/11/06 10:52:11:2866| 0| COM85| S |FA57000201
2023-11-06 10:52:11.4363–TRACE–2023/11/06 10:52:11:4341| 0| COM85| S |FA57000201
2023-11-06 10:52:11.5833–TRACE–2023/11/06 10:52:11:5818| 0| COM85| S |FA57000201
2023-11-06 10:52:11.9004–TRACE–2023/11/06 10:52:11:8962| 0| COM85| S |FA57000201
2023-11-06 10:52:12.0545–TRACE–2023/11/06 10:52:12:0524| 0| COM85| S |FA57000201
2023-11-06 10:54:22.0785–TRACE–2023/11/06 10:54:22:0699| 0| COM85| Rs |00
2023-11-06 10:58:18.2832–TRACE–2023/11/06 10:58:18:2785| 0| COM85| Rs |00
2023-11-06 10:59:24.7449–TRACE–2023/11/06 10:59:24:7402| 0| COM85| Rs |00
