2023-11-07 22:02:23.5933–TRACE–2023/11/07 22:02:23:5930| 0|  COM4| S | CommandID      0| FA57000201
2023-11-07 22:02:23.6219–TRACE–2023/11/07 22:02:23:6219| 0|  COM4| R | CommandID      0| C30D0A
2023-11-07 22:02:23.6219–TRACE–2023/11/07 22:02:23:6223| 0|  COM4| S | CommandID      1| FA52010401
2023-11-07 22:02:23.6434–TRACE–2023/11/07 22:02:23:6434| 0|  COM4| R | CommandID      1| FA010A0101020304050607080D0A
2023-11-07 22:02:23.6434–TRACE–2023/11/07 22:02:23:6434| 0|  COM4| S | CommandID      2| FA52020401
2023-11-07 22:02:23.6587–TRACE–2023/11/07 22:02:23:6587| 0|  COM4| R | CommandID      2| FA020A0101020304050607080D0A
2023-11-07 22:02:23.6587–TRACE–2023/11/07 22:02:23:6588| 0|  COM4| S | CommandID      3| FA52030401
2023-11-07 22:02:23.6804–TRACE–2023/11/07 22:02:23:6804| 0|  COM4| R | CommandID      3| FA030A0101020304050607080D0A
2023-11-07 22:02:23.6804–TRACE–2023/11/07 22:02:23:6805| 0|  COM4| S | CommandID      4| FA52010101
2023-11-07 22:02:23.7033–TRACE–2023/11/07 22:02:23:7033| 0|  COM4| R | CommandID      4| FA0103640D0A
2023-11-07 22:02:23.7033–TRACE–2023/11/07 22:02:23:7034| 0|  COM4| S | CommandID      5| FA52020101
2023-11-07 22:02:23.7243–TRACE–2023/11/07 22:02:23:7243| 0|  COM4| R | CommandID      5| FA0203640D0A
2023-11-07 22:02:23.7243–TRACE–2023/11/07 22:02:23:7243| 0|  COM4| S | CommandID      6| FA52030101
2023-11-07 22:02:23.7377–TRACE–2023/11/07 22:02:23:7377| 0|  COM4| R | CommandID      6| FA0303640D0A
2023-11-07 22:02:23.7377–TRACE–2023/11/07 22:02:23:7377| 0|  COM4| S | CommandID      7| FA52010402
2023-11-07 22:02:23.7507–TRACE–2023/11/07 22:02:23:7507| 0|  COM4| R | CommandID      7| FA010400870D0A
2023-11-07 22:02:23.7507–TRACE–2023/11/07 22:02:23:7507| 0|  COM4| S | CommandID      8| FA52020402
2023-11-07 22:02:23.7712–TRACE–2023/11/07 22:02:23:7712| 0|  COM4| R | CommandID      8| FA020400890D0A
2023-11-07 22:02:23.7712–TRACE–2023/11/07 22:02:23:7712| 0|  COM4| S | CommandID      9| FA52030402
2023-11-07 22:02:23.7813–TRACE–2023/11/07 22:02:23:7813| 0|  COM4| R | CommandID      9| FA030400870D0A
2023-11-07 22:02:23.7813–TRACE–2023/11/07 22:02:23:7813| 0|  COM4| S | CommandID     10| FA52010403
2023-11-07 22:02:23.7986–TRACE–2023/11/07 22:02:23:7986| 0|  COM4| R | CommandID     10| FA01054355550D0A
2023-11-07 22:02:23.7986–TRACE–2023/11/07 22:02:23:7986| 0|  COM4| S | CommandID     11| FA52020403
2023-11-07 22:02:23.8183–TRACE–2023/11/07 22:02:23:8183| 0|  COM4| R | CommandID     11| FA02054355550D0A
2023-11-07 22:02:23.8183–TRACE–2023/11/07 22:02:23:8183| 0|  COM4| S | CommandID     12| FA52030403
2023-11-07 22:02:23.8286–TRACE–2023/11/07 22:02:23:8286| 0|  COM4| R | CommandID     12| FA03054555550D0A
2023-11-07 22:02:23.8286–TRACE–2023/11/07 22:02:23:8286| 0|  COM4| S | CommandID     13| FA52010404
2023-11-07 22:02:23.8487–TRACE–2023/11/07 22:02:23:8486| 0|  COM4| R | CommandID     13| FA01034B0D0A
2023-11-07 22:02:23.8487–TRACE–2023/11/07 22:02:23:8487| 0|  COM4| S | CommandID     14| FA52020404
2023-11-07 22:02:23.8606–TRACE–2023/11/07 22:02:23:8606| 0|  COM4| R | CommandID     14| FA02034B0D0A
2023-11-07 22:02:23.8606–TRACE–2023/11/07 22:02:23:8607| 0|  COM4| S | CommandID     15| FA52030404
2023-11-07 22:02:23.8789–TRACE–2023/11/07 22:02:23:8788| 0|  COM4| R | CommandID     15| FA03034B0D0A
2023-11-07 22:02:23.8789–TRACE–2023/11/07 22:02:23:8789| 0|  COM4| S | CommandID     16| FA52010405
2023-11-07 22:02:23.8940–TRACE–2023/11/07 22:02:23:8940| 0|  COM4| R | CommandID     16| FA010438300D0A
2023-11-07 22:02:23.8940–TRACE–2023/11/07 22:02:23:8940| 0|  COM4| S | CommandID     17| FA52020405
2023-11-07 22:02:23.9125–TRACE–2023/11/07 22:02:23:9125| 0|  COM4| R | CommandID     17| FA020434430D0A
2023-11-07 22:02:23.9125–TRACE–2023/11/07 22:02:23:9125| 0|  COM4| S | CommandID     18| FA52030405
2023-11-07 22:02:23.9225–TRACE–2023/11/07 22:02:23:9225| 0|  COM4| R | CommandID     18| FA030414220D0A
2023-11-07 22:02:23.9225–TRACE–2023/11/07 22:02:23:9225| 0|  COM4| S | CommandID     19| FA52010501
2023-11-07 22:02:23.9493–TRACE–2023/11/07 22:02:23:9493| 0|  COM4| R | CommandID     19| FA010401180D0A
2023-11-07 22:02:23.9493–TRACE–2023/11/07 22:02:23:9494| 0|  COM4| S | CommandID     20| FA52020501
2023-11-07 22:02:23.9726–TRACE–2023/11/07 22:02:23:9726| 0|  COM4| R | CommandID     20| FA020401300D0A
2023-11-07 22:02:23.9726–TRACE–2023/11/07 22:02:23:9726| 0|  COM4| S | CommandID     21| FA52030501
2023-11-07 22:02:23.9955–TRACE–2023/11/07 22:02:23:9954| 0|  COM4| R | CommandID     21| FA030401140D0A
2023-11-07 22:02:23.9955–TRACE–2023/11/07 22:02:23:9955| 0|  COM4| S | CommandID     22| FA52010001
2023-11-07 22:02:24.0282–TRACE–2023/11/07 22:02:24:0282| 0|  COM4| R | CommandID     22| FA010401020D0A
2023-11-07 22:02:24.0282–TRACE–2023/11/07 22:02:24:0282| 0|  COM4| S | CommandID     23| FA52020001
2023-11-07 22:02:24.0529–TRACE–2023/11/07 22:02:24:0529| 0|  COM4| R | CommandID     23| FA020401020D0A
2023-11-07 22:02:24.0529–TRACE–2023/11/07 22:02:24:0529| 0|  COM4| S | CommandID     24| FA52030001
2023-11-07 22:02:24.0730–TRACE–2023/11/07 22:02:24:0730| 0|  COM4| R | CommandID     24| FA030401020D0A
2023-11-07 22:02:24.0730–TRACE–2023/11/07 22:02:24:0730| 0|  COM4| S | CommandID     25| FA52010002
2023-11-07 22:02:24.0955–TRACE–2023/11/07 22:02:24:0955| 0|  COM4| R | CommandID     25| FA010403040D0A
2023-11-07 22:02:24.0955–TRACE–2023/11/07 22:02:24:0955| 0|  COM4| S | CommandID     26| FA52020002
2023-11-07 22:02:24.1173–TRACE–2023/11/07 22:02:24:1173| 0|  COM4| R | CommandID     26| FA020403040D0A
2023-11-07 22:02:24.1173–TRACE–2023/11/07 22:02:24:1173| 0|  COM4| S | CommandID     27| FA52030002
2023-11-07 22:02:24.1283–TRACE–2023/11/07 22:02:24:1283| 0|  COM4| R | CommandID     27| FA030403040D0A
2023-11-07 22:02:24.1283–TRACE–2023/11/07 22:02:24:1284| 0|  COM4| S | CommandID     28| FA57000201
2023-11-07 22:02:24.1636–TRACE–2023/11/07 22:02:24:1636| 0|  COM4| R | CommandID     28| C30D0A
2023-11-07 22:02:24.1636–TRACE–2023/11/07 22:02:24:1636| 0|  COM4| S | CommandID     29| FA52010401
2023-11-07 22:02:24.1901–TRACE–2023/11/07 22:02:24:1901| 0|  COM4| R | CommandID     29| FA010A0101020304050607080D0A
2023-11-07 22:02:24.1901–TRACE–2023/11/07 22:02:24:1901| 0|  COM4| S | CommandID     30| FA52020401
2023-11-07 22:02:24.2062–TRACE–2023/11/07 22:02:24:2062| 0|  COM4| R | CommandID     30| FA020A0001020304050607080D0A
2023-11-07 22:02:24.2062–TRACE–2023/11/07 22:02:24:2062| 0|  COM4| S | CommandID     31| FA52030401
2023-11-07 22:02:24.2192–TRACE–2023/11/07 22:02:24:2192| 0|  COM4| R | CommandID     31| FA030A0101020304050607080D0A
2023-11-07 22:02:24.2192–TRACE–2023/11/07 22:02:24:2192| 0|  COM4| S | CommandID     32| FA52010101
2023-11-07 22:02:24.2410–TRACE–2023/11/07 22:02:24:2410| 0|  COM4| R | CommandID     32| FA0103640D0A
2023-11-07 22:02:24.2410–TRACE–2023/11/07 22:02:24:2410| 0|  COM4| S | CommandID     33| FA52020101
2023-11-07 22:02:24.2508–TRACE–2023/11/07 22:02:24:2508| 0|  COM4| R | CommandID     33| FA0203640D0A
2023-11-07 22:02:24.2508–TRACE–2023/11/07 22:02:24:2508| 0|  COM4| S | CommandID     34| FA52030101
2023-11-07 22:02:24.2755–TRACE–2023/11/07 22:02:24:2755| 0|  COM4| R | CommandID     34| FA0303640D0A
2023-11-07 22:02:24.2755–TRACE–2023/11/07 22:02:24:2755| 0|  COM4| S | CommandID     35| FA52010402
2023-11-07 22:02:24.3024–TRACE–2023/11/07 22:02:24:3024| 0|  COM4| R | CommandID     35| FA010400870D0A
2023-11-07 22:02:24.3024–TRACE–2023/11/07 22:02:24:3024| 0|  COM4| S | CommandID     36| FA52020402
2023-11-07 22:02:24.3209–TRACE–2023/11/07 22:02:24:3209| 0|  COM4| R | CommandID     36| FA020400890D0A
2023-11-07 22:02:24.3209–TRACE–2023/11/07 22:02:24:3209| 0|  COM4| S | CommandID     37| FA52030402
2023-11-07 22:02:24.3444–TRACE–2023/11/07 22:02:24:3444| 0|  COM4| R | CommandID     37| FA030400870D0A
2023-11-07 22:02:24.3444–TRACE–2023/11/07 22:02:24:3444| 0|  COM4| S | CommandID     38| FA52010403
