2023-11-09 20:47:06.0750–TRACE–2023/11/09 20:47:06:0721| 1|  COM5| S | CommandID      0| FA57000201
2023-11-09 20:47:06.1823–TRACE–Timeout without any data received.
2023-11-09 20:47:06.1823–TRACE–2023/11/09 20:47:06:1835| 1|  COM5| R | CommandID      0| 
2023-11-09 20:47:08.0725–TRACE–2023/11/09 20:47:08:0725| 1|  COM5| S | CommandID      1| FA52010002
2023-11-09 20:47:08.1967–TRACE–Timeout without any data received.
2023-11-09 20:47:08.1967–TRACE–2023/11/09 20:47:08:1968| 1|  COM5| R | CommandID      1| 
2023-11-09 20:47:08.1967–TRACE–2023/11/09 20:47:08:1971| 1|  COM5| S | CommandID      2| FA52020002
2023-11-09 20:47:08.3001–TRACE–Timeout without any data received.
2023-11-09 20:47:08.3001–TRACE–2023/11/09 20:47:08:3001| 1|  COM5| R | CommandID      2| 
2023-11-09 20:47:08.3001–TRACE–2023/11/09 20:47:08:3002| 1|  COM5| S | CommandID      3| FA52030002
2023-11-09 20:47:08.4081–TRACE–Timeout without any data received.
2023-11-09 20:47:08.4081–TRACE–2023/11/09 20:47:08:4082| 1|  COM5| R | CommandID      3| 
2023-11-09 20:47:08.4081–TRACE–2023/11/09 20:47:08:4082| 1|  COM5| S | CommandID      4| FA52010001
2023-11-09 20:47:08.5182–TRACE–Timeout without any data received.
2023-11-09 20:47:08.5182–TRACE–2023/11/09 20:47:08:5183| 1|  COM5| R | CommandID      4| 
2023-11-09 20:47:08.5182–TRACE–2023/11/09 20:47:08:5183| 1|  COM5| S | CommandID      5| FA52020001
2023-11-09 20:47:08.6242–TRACE–Timeout without any data received.
2023-11-09 20:47:08.6242–TRACE–2023/11/09 20:47:08:6242| 1|  COM5| R | CommandID      5| 
2023-11-09 20:47:08.6242–TRACE–2023/11/09 20:47:08:6243| 1|  COM5| S | CommandID      6| FA52030001
2023-11-09 20:47:08.7444–TRACE–Timeout without any data received.
2023-11-09 20:47:08.7444–TRACE–2023/11/09 20:47:08:7444| 1|  COM5| R | CommandID      6| 
2023-11-09 20:47:08.7444–TRACE–2023/11/09 20:47:08:7445| 1|  COM5| S | CommandID      7| FA52010401
2023-11-09 20:47:08.8531–TRACE–Timeout without any data received.
2023-11-09 20:47:08.8531–TRACE–2023/11/09 20:47:08:8532| 1|  COM5| R | CommandID      7| 
2023-11-09 20:47:08.8531–TRACE–2023/11/09 20:47:08:8532| 1|  COM5| S | CommandID      8| FA52020401
2023-11-09 20:47:08.9623–TRACE–Timeout without any data received.
2023-11-09 20:47:08.9623–TRACE–2023/11/09 20:47:08:9623| 1|  COM5| R | CommandID      8| 
2023-11-09 20:47:08.9623–TRACE–2023/11/09 20:47:08:9623| 1|  COM5| S | CommandID      9| FA52030401
2023-11-09 20:47:23.0208–TRACE–2023/11/09 20:47:23:0208| 1|  COM5| S | CommandID      0| FA57000201
2023-11-09 20:47:23.0472–TRACE–2023/11/09 20:47:23:0472| 1|  COM5| R | CommandID      0| C30D0A
2023-11-09 20:47:25.0290–TRACE–2023/11/09 20:47:25:0290| 1|  COM5| S | CommandID      1| FA52010002
2023-11-09 20:47:25.0421–TRACE–2023/11/09 20:47:25:0421| 1|  COM5| R | CommandID      1| FA010403040D0A
2023-11-09 20:47:25.1423–TRACE–2023/11/09 20:47:25:1423| 1|  COM5| S | CommandID      2| FA52020002
2023-11-09 20:47:25.1675–TRACE–2023/11/09 20:47:25:1675| 1|  COM5| R | CommandID      2| FA020403040D0A
2023-11-09 20:47:25.2551–TRACE–2023/11/09 20:47:25:2551| 1|  COM5| S | CommandID      3| FA52030002
2023-11-09 20:47:25.2791–TRACE–2023/11/09 20:47:25:2791| 1|  COM5| R | CommandID      3| FA030403040D0A
2023-11-09 20:47:25.3663–TRACE–2023/11/09 20:47:25:3663| 1|  COM5| S | CommandID      4| FA52010001
2023-11-09 20:47:25.3878–TRACE–2023/11/09 20:47:25:3878| 1|  COM5| R | CommandID      4| FA010401020D0A
2023-11-09 20:47:25.4793–TRACE–2023/11/09 20:47:25:4793| 1|  COM5| S | CommandID      5| FA52020001
2023-11-09 20:47:25.4949–TRACE–2023/11/09 20:47:25:4949| 1|  COM5| R | CommandID      5| FA020401020D0A
2023-11-09 20:47:25.5872–TRACE–2023/11/09 20:47:25:5871| 1|  COM5| S | CommandID      6| FA52030001
2023-11-09 20:47:25.6038–TRACE–2023/11/09 20:47:25:6038| 1|  COM5| R | CommandID      6| FA030401020D0A
2023-11-09 20:47:25.7009–TRACE–2023/11/09 20:47:25:7009| 1|  COM5| S | CommandID      7| FA52010401
2023-11-09 20:47:25.7146–TRACE–2023/11/09 20:47:25:7146| 1|  COM5| R | CommandID      7| FA010A0101020304050607080D0A
2023-11-09 20:47:25.8108–TRACE–2023/11/09 20:47:25:8108| 1|  COM5| S | CommandID      8| FA52020401
2023-11-09 20:47:25.8242–TRACE–2023/11/09 20:47:25:8242| 1|  COM5| R | CommandID      8| FA020A0101020304050607080D0A
2023-11-09 20:47:25.9204–TRACE–2023/11/09 20:47:25:9204| 1|  COM5| S | CommandID      9| FA52030401
2023-11-09 20:47:25.9316–TRACE–2023/11/09 20:47:25:9316| 1|  COM5| R | CommandID      9| FA030A0101020304050607080D0A
2023-11-09 20:47:26.0321–TRACE–2023/11/09 20:47:26:0321| 1|  COM5| S | CommandID     10| FA52010101
2023-11-09 20:47:26.0573–TRACE–2023/11/09 20:47:26:0573| 1|  COM5| R | CommandID     10| FA0103640D0A
2023-11-09 20:47:26.1442–TRACE–2023/11/09 20:47:26:1441| 1|  COM5| S | CommandID     11| FA52020101
2023-11-09 20:47:26.1654–TRACE–2023/11/09 20:47:26:1654| 1|  COM5| R | CommandID     11| FA0203640D0A
2023-11-09 20:47:26.2600–TRACE–2023/11/09 20:47:26:2600| 1|  COM5| S | CommandID     12| FA52030101
2023-11-09 20:47:26.2800–TRACE–2023/11/09 20:47:26:2799| 1|  COM5| R | CommandID     12| FA0303640D0A
2023-11-09 20:47:26.3706–TRACE–2023/11/09 20:47:26:3706| 1|  COM5| S | CommandID     13| FA52010402
2023-11-09 20:47:26.3853–TRACE–2023/11/09 20:47:26:3853| 1|  COM5| R | CommandID     13| FA010400850D0A
2023-11-09 20:47:26.4842–TRACE–2023/11/09 20:47:26:4842| 1|  COM5| S | CommandID     14| FA52020402
2023-11-09 20:47:26.4945–TRACE–2023/11/09 20:47:26:4945| 1|  COM5| R | CommandID     14| FA020400870D0A
2023-11-09 20:47:26.5969–TRACE–2023/11/09 20:47:26:5969| 1|  COM5| S | CommandID     15| FA52030402
2023-11-09 20:47:26.6181–TRACE–2023/11/09 20:47:26:6181| 1|  COM5| R | CommandID     15| FA030400870D0A
2023-11-09 20:47:26.7123–TRACE–2023/11/09 20:47:26:7123| 1|  COM5| S | CommandID     16| FA52010403
2023-11-09 20:47:26.7286–TRACE–2023/11/09 20:47:26:7285| 1|  COM5| R | CommandID     16| FA01054359550D0A
2023-11-09 20:47:26.8228–TRACE–2023/11/09 20:47:26:8227| 1|  COM5| S | CommandID     17| FA52020403
2023-11-09 20:47:26.8387–TRACE–2023/11/09 20:47:26:8387| 1|  COM5| R | CommandID     17| FA02054359550D0A
