2023-11-09 21:00:00.0720–TRACE–2023/11/09 21:00:00:0719| 1|  COM5| S | CommandID     49| FA52010501
2023-11-09 21:00:00.0871–TRACE–2023/11/09 21:00:00:0871| 1|  COM5| R | CommandID     49| FA0104014C0D0A
2023-11-09 21:00:00.1842–TRACE–2023/11/09 21:00:00:1842| 1|  COM5| S | CommandID     50| FA52030501
2023-11-09 21:00:00.1976–TRACE–2023/11/09 21:00:00:1976| 1|  COM5| R | CommandID     50| FA0304011C0D0A
2023-11-09 21:00:00.2959–TRACE–2023/11/09 21:00:00:2959| 1|  COM5| S | CommandID     51| FA52020501
2023-11-09 21:00:00.3248–TRACE–2023/11/09 21:00:00:3247| 1|  COM5| R | CommandID     51| FA0204011C0D0A
2023-11-09 21:00:00.8055–TRACE–2023/11/09 21:00:00:8055| 1|  COM5| S | CommandID     52| FA52010405
2023-11-09 21:00:00.8225–TRACE–2023/11/09 21:00:00:8225| 1|  COM5| R | CommandID     52| FA01040D4F0D0A
2023-11-09 21:00:00.9151–TRACE–2023/11/09 21:00:00:9151| 1|  COM5| S | CommandID     53| FA52020405
2023-11-09 21:00:00.9327–TRACE–2023/11/09 21:00:00:9326| 1|  COM5| R | CommandID     53| FA02040F4F0D0A
2023-11-09 21:00:01.0242–TRACE–2023/11/09 21:00:01:0242| 1|  COM5| S | CommandID     54| FA52030405
2023-11-09 21:00:01.0406–TRACE–2023/11/09 21:00:01:0406| 1|  COM5| R | CommandID     54| FA03044F2F0D0A
2023-11-09 21:00:01.1381–TRACE–2023/11/09 21:00:01:1381| 1|  COM5| S | CommandID     55| FA52010501
2023-11-09 21:00:01.1508–TRACE–2023/11/09 21:00:01:1508| 1|  COM5| R | CommandID     55| FA010401500D0A
2023-11-09 21:00:01.2445–TRACE–2023/11/09 21:00:01:2445| 1|  COM5| S | CommandID     56| FA52030501
2023-11-09 21:00:01.2588–TRACE–2023/11/09 21:00:01:2588| 1|  COM5| R | CommandID     56| FA0304012C0D0A
2023-11-09 21:00:01.3570–TRACE–2023/11/09 21:00:01:3570| 1|  COM5| S | CommandID     57| FA52020501
2023-11-09 21:00:01.3697–TRACE–2023/11/09 21:00:01:3697| 1|  COM5| R | CommandID     57| FA020401480D0A
2023-11-09 21:00:01.8627–TRACE–2023/11/09 21:00:01:8627| 1|  COM5| S | CommandID     58| FA52010405
2023-11-09 21:00:01.8884–TRACE–2023/11/09 21:00:01:8884| 1|  COM5| R | CommandID     58| FA01040B120D0A
2023-11-09 21:00:01.9688–TRACE–2023/11/09 21:00:01:9688| 1|  COM5| S | CommandID     59| FA52020405
2023-11-09 21:00:01.9955–TRACE–2023/11/09 21:00:01:9955| 1|  COM5| R | CommandID     59| FA0204401A0D0A
2023-11-09 21:00:02.0770–TRACE–2023/11/09 21:00:02:0770| 1|  COM5| S | CommandID     60| FA52030405
2023-11-09 21:00:02.1054–TRACE–2023/11/09 21:00:02:1054| 1|  COM5| R | CommandID     60| FA030431320D0A
