2023-11-10 15:00:17.1128–TRACE–2023/11/10 15:00:17:1088| 0| COM88| S | CommandID      0| FA57000201
2023-11-10 15:00:17.1415–TRACE–2023/11/10 15:00:17:1415| 0| COM88| R | CommandID      0| C30D0A
2023-11-10 15:00:19.1078–TRACE–2023/11/10 15:00:19:1078| 0| COM88| S | CommandID      1| FA52010002
2023-11-10 15:00:19.1292–TRACE–2023/11/10 15:00:19:1292| 0| COM88| R | CommandID      1| FA010403040D0A
2023-11-10 15:00:19.1292–TRACE–2023/11/10 15:00:19:1294| 0| COM88| S | CommandID      2| FA52020002
2023-11-10 15:00:19.1465–TRACE–2023/11/10 15:00:19:1465| 0| COM88| R | CommandID      2| FA020403040D0A
2023-11-10 15:00:19.1465–TRACE–2023/11/10 15:00:19:1468| 0| COM88| S | CommandID      3| FA52030002
2023-11-10 15:00:19.1631–TRACE–2023/11/10 15:00:19:1631| 0| COM88| R | CommandID      3| FA030403040D0A
2023-11-10 15:00:19.1631–TRACE–2023/11/10 15:00:19:1633| 0| COM88| S | CommandID      4| FA52010001
2023-11-10 15:00:19.1763–TRACE–2023/11/10 15:00:19:1763| 0| COM88| R | CommandID      4| FA010401020D0A
2023-11-10 15:00:19.1763–TRACE–2023/11/10 15:00:19:1765| 0| COM88| S | CommandID      5| FA52020001
2023-11-10 15:00:19.1922–TRACE–2023/11/10 15:00:19:1922| 0| COM88| R | CommandID      5| FA020401020D0A
2023-11-10 15:00:19.1922–TRACE–2023/11/10 15:00:19:1924| 0| COM88| S | CommandID      6| FA52030001
2023-11-10 15:00:19.2089–TRACE–2023/11/10 15:00:19:2089| 0| COM88| R | CommandID      6| FA030401020D0A
2023-11-10 15:00:19.2089–TRACE–2023/11/10 15:00:19:2094| 0| COM88| S | CommandID      7| FA52010401
2023-11-10 15:00:19.2241–TRACE–2023/11/10 15:00:19:2241| 0| COM88| R | CommandID      7| FA010A0101020304050607080D0A
2023-11-10 15:00:19.2241–TRACE–2023/11/10 15:00:19:2244| 0| COM88| S | CommandID      8| FA52020401
2023-11-10 15:00:19.2429–TRACE–2023/11/10 15:00:19:2428| 0| COM88| R | CommandID      8| FA020A0101020304050607080D0A
2023-11-10 15:00:19.2429–TRACE–2023/11/10 15:00:19:2431| 0| COM88| S | CommandID      9| FA52030401
2023-11-10 15:00:19.2548–TRACE–2023/11/10 15:00:19:2548| 0| COM88| R | CommandID      9| FA030A0101020304050607080D0A
2023-11-10 15:00:19.2548–TRACE–2023/11/10 15:00:19:2551| 0| COM88| S | CommandID     10| FA52010101
2023-11-10 15:00:19.2723–TRACE–2023/11/10 15:00:19:2723| 0| COM88| R | CommandID     10| FA0103640D0A
2023-11-10 15:00:19.2723–TRACE–2023/11/10 15:00:19:2727| 0| COM88| S | CommandID     11| FA52020101
2023-11-10 15:00:19.2913–TRACE–2023/11/10 15:00:19:2912| 0| COM88| R | CommandID     11| FA0203640D0A
2023-11-10 15:00:19.2913–TRACE–2023/11/10 15:00:19:2915| 0| COM88| S | CommandID     12| FA52030101
2023-11-10 15:00:19.3019–TRACE–2023/11/10 15:00:19:3019| 0| COM88| R | CommandID     12| FA0303640D0A
2023-11-10 15:00:19.3019–TRACE–2023/11/10 15:00:19:3022| 0| COM88| S | CommandID     13| FA52010402
2023-11-10 15:00:19.3169–TRACE–2023/11/10 15:00:19:3169| 0| COM88| R | CommandID     13| FA010400850D0A
2023-11-10 15:00:19.3169–TRACE–2023/11/10 15:00:19:3172| 0| COM88| S | CommandID     14| FA52020402
2023-11-10 15:00:19.3338–TRACE–2023/11/10 15:00:19:3338| 0| COM88| R | CommandID     14| FA020400890D0A
2023-11-10 15:00:19.3338–TRACE–2023/11/10 15:00:19:3340| 0| COM88| S | CommandID     15| FA52030402
2023-11-10 15:00:19.3488–TRACE–2023/11/10 15:00:19:3487| 0| COM88| R | CommandID     15| FA030400850D0A
2023-11-10 15:00:19.3488–TRACE–2023/11/10 15:00:19:3490| 0| COM88| S | CommandID     16| FA52010403
2023-11-10 15:00:19.3677–TRACE–2023/11/10 15:00:19:3677| 0| COM88| R | CommandID     16| FA01054557550D0A
2023-11-10 15:00:19.3677–TRACE–2023/11/10 15:00:19:3679| 0| COM88| S | CommandID     17| FA52020403
2023-11-10 15:00:19.3797–TRACE–2023/11/10 15:00:19:3797| 0| COM88| R | CommandID     17| FA02054555550D0A
2023-11-10 15:00:19.3797–TRACE–2023/11/10 15:00:19:3799| 0| COM88| S | CommandID     18| FA52030403
