2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:27:57.2666–TRACE–2023/11/15 17:27:57:2663| 0| COM88| S | CommandID      0| FA57000201
2023-11-15 17:27:57.3003–TRACE–2023/11/15 17:27:57:3003| 0| COM88| R | CommandID      0| C30D0A
2023-11-15 17:28:02.2677–TRACE–- Currently on A_1 iteration: A_1
2023-11-15 17:28:02.2677–TRACE–2023/11/15 17:28:02:2702| 0| COM88| S | CommandID      1| FA52010002
2023-11-15 17:28:02.2822–TRACE–2023/11/15 17:28:02:2821| 0| COM88| R | CommandID      1| FA010403040D0A
2023-11-15 17:28:02.2822–TRACE–2023/11/15 17:28:02:2840| 0| COM88| S | CommandID      2| FA52020002
2023-11-15 17:28:02.3006–TRACE–2023/11/15 17:28:02:3006| 0| COM88| R | CommandID      2| FA020403040D0A
2023-11-15 17:28:02.3006–TRACE–2023/11/15 17:28:02:3025| 0| COM88| S | CommandID      3| FA52030002
2023-11-15 17:28:02.3291–TRACE–2023/11/15 17:28:02:3291| 0| COM88| R | CommandID      3| FA030403040D0A
2023-11-15 17:28:02.3291–TRACE–2023/11/15 17:28:02:3318| 0| COM88| S | CommandID      4| FA52010001
2023-11-15 17:28:02.3586–TRACE–2023/11/15 17:28:02:3585| 0| COM88| R | CommandID      4| FA010401020D0A
2023-11-15 17:28:02.3586–TRACE–2023/11/15 17:28:02:3605| 0| COM88| S | CommandID      5| FA52020001
2023-11-15 17:28:02.3857–TRACE–2023/11/15 17:28:02:3857| 0| COM88| R | CommandID      5| FA020401020D0A
2023-11-15 17:28:02.3857–TRACE–2023/11/15 17:28:02:3875| 0| COM88| S | CommandID      6| FA52030001
2023-11-15 17:28:02.4096–TRACE–2023/11/15 17:28:02:4095| 0| COM88| R | CommandID      6| FA030401020D0A
2023-11-15 17:28:02.4096–TRACE–2023/11/15 17:28:02:4125| 0| COM88| S | CommandID      7| FA52010401
2023-11-15 17:28:02.4356–TRACE–2023/11/15 17:28:02:4356| 0| COM88| R | CommandID      7| FA010A0101020304050607080D0A
2023-11-15 17:28:02.4383–TRACE–2023/11/15 17:28:02:4383| 0| COM88| S | CommandID      8| FA52020401
2023-11-15 17:28:02.4525–TRACE–2023/11/15 17:28:02:4525| 0| COM88| R | CommandID      8| FA020A0101020304050607080D0A
2023-11-15 17:28:02.4525–TRACE–2023/11/15 17:28:02:4548| 0| COM88| S | CommandID      9| FA52030401
2023-11-15 17:28:02.4740–TRACE–2023/11/15 17:28:02:4740| 0| COM88| R | CommandID      9| FA030A0101020304050607080D0A
2023-11-15 17:28:02.4740–TRACE–2023/11/15 17:28:02:4773| 0| COM88| S | CommandID     10| FA52010101
2023-11-15 17:28:02.5002–TRACE–2023/11/15 17:28:02:5002| 0| COM88| R | CommandID     10| FA0103640D0A
2023-11-15 17:28:02.5002–TRACE–2023/11/15 17:28:02:5031| 0| COM88| S | CommandID     11| FA52020101
2023-11-15 17:28:02.5190–TRACE–2023/11/15 17:28:02:5189| 0| COM88| R | CommandID     11| FA0203640D0A
2023-11-15 17:28:02.5190–TRACE–2023/11/15 17:28:02:5214| 0| COM88| S | CommandID     12| FA52030101
2023-11-15 17:28:02.5481–TRACE–2023/11/15 17:28:02:5481| 0| COM88| R | CommandID     12| FA0303640D0A
2023-11-15 17:28:02.5481–TRACE–2023/11/15 17:28:02:5515| 0| COM88| S | CommandID     13| FA52010402
2023-11-15 17:28:02.5782–TRACE–2023/11/15 17:28:02:5782| 0| COM88| R | CommandID     13| FA010400870D0A
2023-11-15 17:28:02.5782–TRACE–2023/11/15 17:28:02:5831| 0| COM88| S | CommandID     14| FA52020402
2023-11-15 17:28:02.6090–TRACE–2023/11/15 17:28:02:6089| 0| COM88| R | CommandID     14| FA020400870D0A
2023-11-15 17:28:02.6090–TRACE–2023/11/15 17:28:02:6185| 0| COM88| S | CommandID     15| FA52030402
2023-11-15 17:28:02.6530–TRACE–2023/11/15 17:28:02:6530| 0| COM88| R | CommandID     15| FA030400870D0A
2023-11-15 17:28:02.6569–TRACE–2023/11/15 17:28:02:6569| 0| COM88| S | CommandID     16| FA52010403
2023-11-15 17:28:02.6719–TRACE–2023/11/15 17:28:02:6719| 0| COM88| R | CommandID     16| FA01054555550D0A
2023-11-15 17:28:02.6719–TRACE–2023/11/15 17:28:02:6742| 0| COM88| S | CommandID     17| FA52020403
2023-11-15 17:28:02.6875–TRACE–2023/11/15 17:28:02:6875| 0| COM88| R | CommandID     17| FA02054155550D0A
2023-11-15 17:28:02.6875–TRACE–2023/11/15 17:28:02:6977| 0| COM88| S | CommandID     18| FA52030403
2023-11-15 17:28:02.7206–TRACE–2023/11/15 17:28:02:7206| 0| COM88| R | CommandID     18| FA03054557550D0A
2023-11-15 17:28:02.7206–TRACE–2023/11/15 17:28:02:7241| 0| COM88| S | CommandID     19| FA52010404
2023-11-15 17:28:02.7537–TRACE–2023/11/15 17:28:02:7537| 0| COM88| R | CommandID     19| FA01034B0D0A
2023-11-15 17:28:02.7537–TRACE–2023/11/15 17:28:02:7570| 0| COM88| S | CommandID     20| FA52020404
2023-11-15 17:28:02.7856–TRACE–2023/11/15 17:28:02:7856| 0| COM88| R | CommandID     20| FA02034B0D0A
2023-11-15 17:28:02.7856–TRACE–2023/11/15 17:28:02:7893| 0| COM88| S | CommandID     21| FA52030404
2023-11-15 17:28:02.8112–TRACE–2023/11/15 17:28:02:8112| 0| COM88| R | CommandID     21| FA03034B0D0A
2023-11-15 17:28:02.8112–TRACE–2023/11/15 17:28:02:8156| 0| COM88| S | CommandID     22| FA52010405
2023-11-15 17:28:02.8443–TRACE–2023/11/15 17:28:02:8443| 0| COM88| R | CommandID     22| FA0104311F0D0A
