2023-11-15 22:15:42.8299–TRACE–– Start Custom script schedule.
2023-11-15 22:15:42.8299–TRACE–- Currently on iteration : 0
2023-11-15 22:15:42.8299–TRACE–– Enter A-0 step.
2023-11-15 22:15:42.8299–TRACE–- Currently on A_1 initial iteration : 初始化 
2023-11-15 22:15:42.8299–TRACE–2023/11/15 22:15:42:8389| 0|  COM5| S | CommandID      0| FA57000201
2023-11-15 22:15:42.8675–TRACE–2023/11/15 22:15:42:8675| 0|  COM5| R | CommandID      0| C30D0A
2023-11-15 22:15:47.8435–TRACE–- 進入偵測階段
2023-11-15 22:15:47.8435–TRACE–2023/11/15 22:15:47:8452| 0|  COM5| S | CommandID      1| FA52010002
2023-11-15 22:15:47.8576–TRACE–2023/11/15 22:15:47:8576| 0|  COM5| R | CommandID      1| FA010403040D0A
2023-11-15 22:15:47.8576–TRACE–2023/11/15 22:15:47:8604| 0|  COM5| S | CommandID      2| FA52020002
2023-11-15 22:15:47.8728–TRACE–2023/11/15 22:15:47:8728| 0|  COM5| R | CommandID      2| FA020403040D0A
2023-11-15 22:15:47.8728–TRACE–2023/11/15 22:15:47:8765| 0|  COM5| S | CommandID      3| FA52030002
2023-11-15 22:15:47.9035–TRACE–2023/11/15 22:15:47:9035| 0|  COM5| R | CommandID      3| FA030403040D0A
2023-11-15 22:15:47.9035–TRACE–2023/11/15 22:15:47:9063| 0|  COM5| S | CommandID      4| FA52010001
2023-11-15 22:15:47.9195–TRACE–2023/11/15 22:15:47:9195| 0|  COM5| R | CommandID      4| FA010401020D0A
2023-11-15 22:15:47.9195–TRACE–2023/11/15 22:15:47:9220| 0|  COM5| S | CommandID      5| FA52020001
2023-11-15 22:15:47.9389–TRACE–2023/11/15 22:15:47:9389| 0|  COM5| R | CommandID      5| FA020401020D0A
2023-11-15 22:15:47.9389–TRACE–2023/11/15 22:15:47:9426| 0|  COM5| S | CommandID      6| FA52030001
2023-11-15 22:15:47.9656–TRACE–2023/11/15 22:15:47:9656| 0|  COM5| R | CommandID      6| FA030401020D0A
2023-11-15 22:15:47.9656–TRACE–2023/11/15 22:15:47:9692| 0|  COM5| S | CommandID      7| FA52010401
2023-11-15 22:15:47.9892–TRACE–2023/11/15 22:15:47:9892| 0|  COM5| R | CommandID      7| FA010A0101020304050607080D0A
2023-11-15 22:15:47.9892–TRACE–2023/11/15 22:15:47:9915| 0|  COM5| S | CommandID      8| FA52020401
2023-11-15 22:15:48.0174–TRACE–2023/11/15 22:15:48:0173| 0|  COM5| R | CommandID      8| FA020A0101020304050607080D0A
2023-11-15 22:15:48.0174–TRACE–2023/11/15 22:15:48:0192| 0|  COM5| S | CommandID      9| FA52030401
2023-11-15 22:15:48.0478–TRACE–2023/11/15 22:15:48:0478| 0|  COM5| R | CommandID      9| FA030A0101020304050607080D0A
2023-11-15 22:15:48.0478–TRACE–2023/11/15 22:15:48:0499| 0|  COM5| S | CommandID     10| FA52010101
2023-11-15 22:15:48.0775–TRACE–2023/11/15 22:15:48:0775| 0|  COM5| R | CommandID     10| FA0103640D0A
2023-11-15 22:15:48.0775–TRACE–2023/11/15 22:15:48:0796| 0|  COM5| S | CommandID     11| FA52020101
2023-11-15 22:15:48.0928–TRACE–2023/11/15 22:15:48:0928| 0|  COM5| R | CommandID     11| FA0203640D0A
2023-11-15 22:15:48.0928–TRACE–2023/11/15 22:15:48:0952| 0|  COM5| S | CommandID     12| FA52030101
2023-11-15 22:15:48.1224–TRACE–2023/11/15 22:15:48:1224| 0|  COM5| R | CommandID     12| FA0303640D0A
2023-11-15 22:15:48.1224–TRACE–2023/11/15 22:15:48:1247| 0|  COM5| S | CommandID     13| FA52010402
2023-11-15 22:15:48.1386–TRACE–2023/11/15 22:15:48:1386| 0|  COM5| R | CommandID     13| FA010400890D0A
2023-11-15 22:15:48.1386–TRACE–2023/11/15 22:15:48:1407| 0|  COM5| S | CommandID     14| FA52020402
2023-11-15 22:15:48.1529–TRACE–2023/11/15 22:15:48:1529| 0|  COM5| R | CommandID     14| FA020400890D0A
2023-11-15 22:15:48.1529–TRACE–2023/11/15 22:15:48:1552| 0|  COM5| S | CommandID     15| FA52030402
2023-11-15 22:15:48.1736–TRACE–2023/11/15 22:15:48:1736| 0|  COM5| R | CommandID     15| FA030400870D0A
2023-11-15 22:15:48.1736–TRACE–2023/11/15 22:15:48:1766| 0|  COM5| S | CommandID     16| FA52010403
2023-11-15 22:15:48.2000–TRACE–2023/11/15 22:15:48:2000| 0|  COM5| R | CommandID     16| FA01054555550D0A
2023-11-15 22:15:48.2000–TRACE–2023/11/15 22:15:48:2026| 0|  COM5| S | CommandID     17| FA52020403
2023-11-15 22:15:48.2175–TRACE–2023/11/15 22:15:48:2175| 0|  COM5| R | CommandID     17| FA02054357550D0A
2023-11-15 22:15:48.2175–TRACE–2023/11/15 22:15:48:2200| 0|  COM5| S | CommandID     18| FA52030403
2023-11-15 22:15:48.2328–TRACE–2023/11/15 22:15:48:2328| 0|  COM5| R | CommandID     18| FA03054157550D0A
2023-11-15 22:15:48.2328–TRACE–2023/11/15 22:15:48:2353| 0|  COM5| S | CommandID     19| FA52010404
