2023-11-30 13:52:41.7562–TRACE–– Start Custom script schedule.
2023-11-30 13:52:41.7562–TRACE–- Currently on iteration : 0
2023-11-30 13:52:41.7603–TRACE–– Enter A-0 step.
2023-11-30 13:52:41.7603–TRACE–- A-1 initial
2023-11-30 13:52:41.7603–TRACE–2023/11/30 13:52:41:7642| 0| COM88| S | CommandID      0| FA57000201
2023-11-30 13:52:41.7773–TRACE–2023/11/30 13:52:41:7773| 0| COM88| R | CommandID      0| C30D0A
2023-11-30 13:52:46.7782–TRACE–- A-1 進入偵測階段
2023-11-30 13:52:46.7782–TRACE–2023/11/30 13:52:46:7844| 0| COM88| S | CommandID      1| FA52010002
2023-11-30 13:52:46.7924–TRACE–2023/11/30 13:52:46:7924| 0| COM88| R | CommandID      1| FA010403040D0A
2023-11-30 13:52:46.7924–TRACE–2023/11/30 13:52:46:7947| 0| COM88| S | CommandID      2| FA52020002
2023-11-30 13:52:46.8234–TRACE–2023/11/30 13:52:46:8234| 0| COM88| R | CommandID      2| FA020403040D0A
2023-11-30 13:52:46.8234–TRACE–2023/11/30 13:52:46:8288| 0| COM88| S | CommandID      3| FA52030002
2023-11-30 13:52:46.8598–TRACE–2023/11/30 13:52:46:8597| 0| COM88| R | CommandID      3| FA030403040D0A
2023-11-30 13:52:46.8598–TRACE–2023/11/30 13:52:46:8628| 0| COM88| S | CommandID      4| FA52010001
2023-11-30 13:52:46.8895–TRACE–2023/11/30 13:52:46:8895| 0| COM88| R | CommandID      4| FA010401020D0A
2023-11-30 13:52:46.8895–TRACE–2023/11/30 13:52:46:8911| 0| COM88| S | CommandID      5| FA52020001
2023-11-30 13:52:46.9180–TRACE–2023/11/30 13:52:46:9180| 0| COM88| R | CommandID      5| FA020401020D0A
2023-11-30 13:52:46.9406–TRACE–2023/11/30 13:52:46:9405| 0| COM88| S | CommandID      6| FA52030001
2023-11-30 13:52:46.9689–TRACE–2023/11/30 13:52:46:9689| 0| COM88| R | CommandID      6| FA030401020D0A
2023-11-30 13:52:46.9689–TRACE–2023/11/30 13:52:46:9708| 0| COM88| S | CommandID      7| FA52010401
2023-11-30 13:52:46.9948–TRACE–2023/11/30 13:52:46:9948| 0| COM88| R | CommandID      7| FA010A0101020304050607080D0A
2023-11-30 13:52:46.9948–TRACE–2023/11/30 13:52:46:9986| 0| COM88| S | CommandID      8| FA52020401
2023-11-30 13:52:47.0277–TRACE–2023/11/30 13:52:47:0277| 0| COM88| R | CommandID      8| FA020A0101020304050607080D0A
2023-11-30 13:52:47.0277–TRACE–2023/11/30 13:52:47:0388| 0| COM88| S | CommandID      9| FA52030401
2023-11-30 13:52:47.0596–TRACE–2023/11/30 13:52:47:0596| 0| COM88| R | CommandID      9| FA030A0101020304050607080D0A
