2023-12-01 11:00:00.0216–TRACE–2023/12/01 11:00:00:0216| 0| COM83| S | CommandID     57| FA52020501
2023-12-01 11:00:00.0457–TRACE–2023/12/01 11:00:00:0457| 0| COM83| R | CommandID     57| FA020401340D0A
2023-12-01 11:00:00.5282–TRACE–2023/12/01 11:00:00:5282| 0| COM83| S | CommandID     58| FA52010405
2023-12-01 11:00:00.5449–TRACE–2023/12/01 11:00:00:5448| 0| COM83| R | CommandID     58| FA01043B2F0D0A
2023-12-01 11:00:00.6379–TRACE–2023/12/01 11:00:00:6379| 0| COM83| S | CommandID     59| FA52020405
2023-12-01 11:00:00.6561–TRACE–2023/12/01 11:00:00:6561| 0| COM83| R | CommandID     59| FA02040A220D0A
2023-12-01 11:00:00.7527–TRACE–2023/12/01 11:00:00:7527| 0| COM83| S | CommandID     60| FA52030405
2023-12-01 11:00:00.7805–TRACE–2023/12/01 11:00:00:7805| 0| COM83| R | CommandID     60| FA03044F370D0A
2023-12-01 11:00:00.8653–TRACE–2023/12/01 11:00:00:8653| 0| COM83| S | CommandID     61| FA52010501
2023-12-01 11:00:00.8899–TRACE–2023/12/01 11:00:00:8899| 0| COM83| R | CommandID     61| FA010401080D0A
2023-12-01 11:00:00.9673–TRACE–2023/12/01 11:00:00:9673| 0| COM83| S | CommandID     62| FA52030501
2023-12-01 11:00:00.9837–TRACE–2023/12/01 11:00:00:9837| 0| COM83| R | CommandID     62| FA030401200D0A
2023-12-01 11:00:01.0776–TRACE–2023/12/01 11:00:01:0776| 0| COM83| S | CommandID     63| FA52020501
2023-12-01 11:00:01.0935–TRACE–2023/12/01 11:00:01:0935| 0| COM83| R | CommandID     63| FA0204054C0D0A
2023-12-01 11:00:01.5776–TRACE–2023/12/01 11:00:01:5776| 0| COM83| S | CommandID     64| FA52010405
2023-12-01 11:00:01.5922–TRACE–2023/12/01 11:00:01:5922| 0| COM83| R | CommandID     64| FA01040E150D0A
2023-12-01 11:00:01.6875–TRACE–2023/12/01 11:00:01:6875| 0| COM83| S | CommandID     65| FA52020405
2023-12-01 11:00:01.7189–TRACE–2023/12/01 11:00:01:7188| 0| COM83| R | CommandID     65| FA020434270D0A
2023-12-01 11:00:01.7990–TRACE–2023/12/01 11:00:01:7990| 0| COM83| S | CommandID     66| FA52030405
2023-12-01 11:00:01.8277–TRACE–2023/12/01 11:00:01:8277| 0| COM83| R | CommandID     66| FA030431210D0A
2023-12-01 11:00:01.9123–TRACE–2023/12/01 11:00:01:9122| 0| COM83| S | CommandID     67| FA52010501
2023-12-01 11:00:01.9349–TRACE–2023/12/01 11:00:01:9349| 0| COM83| R | CommandID     67| FA010401340D0A
2023-12-01 11:00:02.0131–TRACE–2023/12/01 11:00:02:0131| 0| COM83| S | CommandID     68| FA52030501
2023-12-01 11:00:02.0302–TRACE–2023/12/01 11:00:02:0302| 0| COM83| R | CommandID     68| FA030401400D0A
2023-12-01 11:00:02.1236–TRACE–2023/12/01 11:00:02:1236| 0| COM83| S | CommandID     69| FA52020501
2023-12-01 11:00:02.1384–TRACE–2023/12/01 11:00:02:1384| 0| COM83| R | CommandID     69| FA020401200D0A
2023-12-01 11:00:02.6243–TRACE–2023/12/01 11:00:02:6243| 0| COM83| S | CommandID     70| FA52010405
2023-12-01 11:00:02.6545–TRACE–2023/12/01 11:00:02:6545| 0| COM83| R | CommandID     70| FA010438460D0A
2023-12-01 11:00:02.7341–TRACE–2023/12/01 11:00:02:7341| 0| COM83| S | CommandID     71| FA52020405
2023-12-01 11:00:02.7489–TRACE–2023/12/01 11:00:02:7489| 0| COM83| R | CommandID     71| FA02044A270D0A
2023-12-01 11:00:02.8440–TRACE–2023/12/01 11:00:02:8440| 0| COM83| S | CommandID     72| FA52030405
2023-12-01 11:00:02.8569–TRACE–2023/12/01 11:00:02:8569| 0| COM83| R | CommandID     72| FA03040B1F0D0A
2023-12-01 11:00:02.9541–TRACE–2023/12/01 11:00:02:9541| 0| COM83| S | CommandID     73| FA52010501
2023-12-01 11:00:02.9840–TRACE–2023/12/01 11:00:02:9839| 0| COM83| R | CommandID     73| FA0104015C0D0A
2023-12-01 11:00:03.0661–TRACE–2023/12/01 11:00:03:0660| 0| COM83| S | CommandID     74| FA52030501
2023-12-01 11:00:03.0965–TRACE–2023/12/01 11:00:03:0965| 0| COM83| R | CommandID     74| FA030401500D0A
2023-12-01 11:00:03.1803–TRACE–2023/12/01 11:00:03:1803| 0| COM83| S | CommandID     75| FA52020501
2023-12-01 11:00:03.2036–TRACE–2023/12/01 11:00:03:2036| 0| COM83| R | CommandID     75| FA020401540D0A
2023-12-01 11:00:03.6968–TRACE–2023/12/01 11:00:03:6968| 0| COM83| S | CommandID     76| FA52010405
2023-12-01 11:00:03.7223–TRACE–2023/12/01 11:00:03:7223| 0| COM83| R | CommandID     76| FA01043C4C0D0A
2023-12-01 11:00:03.8107–TRACE–2023/12/01 11:00:03:8107| 0| COM83| S | CommandID     77| FA52020405
2023-12-01 11:00:03.8255–TRACE–2023/12/01 11:00:03:8254| 0| COM83| R | CommandID     77| FA020420500D0A
2023-12-01 11:00:03.9212–TRACE–2023/12/01 11:00:03:9211| 0| COM83| S | CommandID     78| FA52030405
2023-12-01 11:00:03.9358–TRACE–2023/12/01 11:00:03:9357| 0| COM83| R | CommandID     78| FA030433440D0A
2023-12-01 11:00:04.0283–TRACE–2023/12/01 11:00:04:0282| 0| COM83| S | CommandID     79| FA52010501
2023-12-01 11:00:04.0442–TRACE–2023/12/01 11:00:04:0442| 0| COM83| R | CommandID     79| FA0104014C0D0A
2023-12-01 11:00:04.1369–TRACE–2023/12/01 11:00:04:1369| 0| COM83| S | CommandID     80| FA52030501
2023-12-01 11:00:04.1557–TRACE–2023/12/01 11:00:04:1557| 0| COM83| R | CommandID     80| FA030401000D0A
2023-12-01 11:00:04.2478–TRACE–2023/12/01 11:00:04:2478| 0| COM83| S | CommandID     81| FA52020501
2023-12-01 11:00:04.2642–TRACE–2023/12/01 11:00:04:2642| 0| COM83| R | CommandID     81| FA020401500D0A
2023-12-01 11:00:04.7636–TRACE–2023/12/01 11:00:04:7636| 0| COM83| S | CommandID     82| FA52010405
2023-12-01 11:00:04.8016–TRACE–2023/12/01 11:00:04:8016| 0| COM83| R | CommandID     82| FA0104414E0D0A
2023-12-01 11:00:04.8723–TRACE–2023/12/01 11:00:04:8723| 0| COM83| S | CommandID     83| FA52020405
2023-12-01 11:00:04.8889–TRACE–2023/12/01 11:00:04:8889| 0| COM83| R | CommandID     83| FA020411170D0A
2023-12-01 11:00:04.9830–TRACE–2023/12/01 11:00:04:9830| 0| COM83| S | CommandID     84| FA52030405
2023-12-01 11:00:04.9994–TRACE–2023/12/01 11:00:04:9994| 0| COM83| R | CommandID     84| FA0304181E0D0A
2023-12-01 11:00:05.0907–TRACE–2023/12/01 11:00:05:0907| 0| COM83| S | CommandID     85| FA52010501
