2023-12-11 15:00:59.9072–TRACE–2023/12/11 15:00:59:9062| 0| COM89| S |FA57000201
2023-12-11 15:00:59.9266–TRACE–2023/12/11 15:00:59:9266| 0| COM89| Rs |C30DBF
2023-12-11 15:01:00.1049–TRACE–2023/12/11 15:01:00:0965| 0| COM89| S |FA57000201
2023-12-11 15:01:00.1049–TRACE–2023/12/11 15:01:00:1122| 0| COM89| Rs |C30D0A
2023-12-11 15:01:00.2944–TRACE–2023/12/11 15:01:00:2932| 0| COM89| S |FA57000201
2023-12-11 15:01:00.2944–TRACE–2023/12/11 15:01:00:3038| 0| COM89| Rs |C30D0A
2023-12-11 15:01:00.4625–TRACE–2023/12/11 15:01:00:4616| 0| COM89| S |FA57000201
2023-12-11 15:01:00.4796–TRACE–2023/12/11 15:01:00:4796| 0| COM89| Rs |C30D0A
2023-12-11 15:01:00.6361–TRACE–2023/12/11 15:01:00:6350| 0| COM89| S |FA57000201
2023-12-11 15:01:00.6392–TRACE–2023/12/11 15:01:00:6392| 0| COM89| Rs |C30D0A
2023-12-11 15:01:01.0199–TRACE–2023/12/11 15:01:01:0186| 0| COM89| S |FA57000201
2023-12-11 15:01:01.0199–TRACE–2023/12/11 15:01:01:0225| 0| COM89| Rs |C30D0A
2023-12-11 15:01:01.1829–TRACE–2023/12/11 15:01:01:1816| 0| COM89| S |FA57000201
2023-12-11 15:01:01.1829–TRACE–2023/12/11 15:01:01:1984| 0| COM89| Rs |C30DBF
2023-12-11 15:01:01.3443–TRACE–2023/12/11 15:01:01:3433| 0| COM89| S |FA57000201
2023-12-11 15:01:01.3581–TRACE–2023/12/11 15:01:01:3581| 0| COM89| Rs |C30D0A
2023-12-11 15:01:01.4983–TRACE–2023/12/11 15:01:01:4969| 0| COM89| S |FA57000201
2023-12-11 15:01:01.4983–TRACE–2023/12/11 15:01:01:5018| 0| COM89| Rs |C30DBF
2023-12-11 15:01:02.0817–TRACE–2023/12/11 15:01:02:0806| 0| COM89| S |FA57000200
2023-12-11 15:01:02.2481–TRACE–2023/12/11 15:01:02:2468| 0| COM89| S |FA57000200
2023-12-11 15:01:02.4057–TRACE–2023/12/11 15:01:02:4046| 0| COM89| S |FA57000200
2023-12-11 15:01:02.5782–TRACE–2023/12/11 15:01:02:5771| 0| COM89| S |FA57000200
2023-12-11 15:01:05.3034–TRACE–2023/12/11 15:01:05:3033| 0| COM89| Rs |C30D0A
2023-12-11 15:09:39.8819–TRACE–2023/12/11 15:09:39:8741| 0| COM89| S |FA57000201
2023-12-11 15:09:39.8819–TRACE–2023/12/11 15:09:39:8890| 0| COM89| Rs |C30D00
2023-12-11 15:09:41.6521–TRACE–2023/12/11 15:09:41:6420| 0| COM89| S |FA57000200
2023-12-11 15:09:44.8686–TRACE–2023/12/11 15:09:44:8686| 0| COM89| Rs |C30D0A
2023-12-11 15:46:17.7736–TRACE–2023/12/11 15:46:17:7649| 0| COM89| S | CommandID      0| FA57000201
2023-12-11 15:46:18.0899–TRACE–Timeout without receiving expected response. Partial data returned.
2023-12-11 15:46:18.0899–TRACE–2023/12/11 15:46:18:0905| 0| COM89| R | CommandID      0| C30D00
2023-12-11 15:46:19.7733–TRACE–2023/12/11 15:46:19:7733| 0| COM89| S | CommandID      1| FA52010002
2023-12-11 15:46:19.7896–TRACE–2023/12/11 15:46:19:7896| 0| COM89| R | CommandID      1| FA010401020D0A
2023-12-11 15:46:19.7896–TRACE–2023/12/11 15:46:19:7909| 0| COM89| S | CommandID      2| FA52020002
2023-12-11 15:46:19.8094–TRACE–2023/12/11 15:46:19:8094| 0| COM89| R | CommandID      2| FA020401020D0A
2023-12-11 15:46:19.8094–TRACE–2023/12/11 15:46:19:8110| 0| COM89| S | CommandID      3| FA52030002
2023-12-11 15:46:19.8386–TRACE–2023/12/11 15:46:19:8386| 0| COM89| R | CommandID      3| FA030401020D0A
2023-12-11 15:46:19.8386–TRACE–2023/12/11 15:46:19:8412| 0| COM89| S | CommandID      4| FA52010001
2023-12-11 15:46:19.8524–TRACE–2023/12/11 15:46:19:8524| 0| COM89| R | CommandID      4| FA010401020D0A
2023-12-11 15:46:19.8524–TRACE–2023/12/11 15:46:19:8638| 0| COM89| S | CommandID      5| FA52020001
2023-12-11 15:46:19.8902–TRACE–2023/12/11 15:46:19:8902| 0| COM89| R | CommandID      5| FA020401020D0A
2023-12-11 15:46:19.8902–TRACE–2023/12/11 15:46:19:8912| 0| COM89| S | CommandID      6| FA52030001
2023-12-11 15:46:19.9129–TRACE–2023/12/11 15:46:19:9129| 0| COM89| R | CommandID      6| FA030401020D0A
2023-12-11 15:46:19.9129–TRACE–2023/12/11 15:46:19:9142| 0| COM89| S | CommandID      7| FA52010401
2023-12-11 15:46:19.9329–TRACE–2023/12/11 15:46:19:9329| 0| COM89| R | CommandID      7| FA010401020D0A
2023-12-11 15:46:19.9329–TRACE–2023/12/11 15:46:19:9348| 0| COM89| S | CommandID      8| FA52020401
2023-12-11 15:46:19.9597–TRACE–2023/12/11 15:46:19:9597| 0| COM89| R | CommandID      8| 00FA020401020D0A
2023-12-11 15:46:19.9597–TRACE–2023/12/11 15:46:19:9609| 0| COM89| S | CommandID      9| FA52030401
2023-12-11 15:46:19.9988–TRACE–2023/12/11 15:46:19:9987| 0| COM89| R | CommandID      9| 00FA030401020D0A
2023-12-11 15:46:19.9988–TRACE–2023/12/11 15:46:20:0009| 0| COM89| S | CommandID     10| FA52010101
2023-12-11 15:46:20.0275–TRACE–2023/12/11 15:46:20:0275| 0| COM89| R | CommandID     10| 00FA0103000D0A
