2023-12-13 16:22:05.6527–TRACE–2023/12/13 16:22:05:6323| 0| COM89| S |FA52010401
2023-12-13 16:22:05.6527–TRACE–2023/12/13 16:22:05:6634| 0| COM89| Rs |FA0100
2023-12-13 16:22:06.7621–TRACE–2023/12/13 16:22:06:7600| 0| COM89| S |FA52010401
2023-12-13 16:22:06.7762–TRACE–2023/12/13 16:22:06:7762| 0| COM89| Rs |FA0100
2023-12-13 16:22:08.0615–TRACE–2023/12/13 16:22:08:0603| 0| COM89| S |FA52010401
2023-12-13 16:22:08.0615–TRACE–2023/12/13 16:22:08:0700| 0| COM89| Rs |FA0100
2023-12-13 16:22:10.0731–TRACE–2023/12/13 16:22:10:0719| 0| COM89| S |FA52020401
2023-12-13 16:22:10.0731–TRACE–2023/12/13 16:22:10:0826| 0| COM89| Rs |FA0200
2023-12-13 16:22:11.6257–TRACE–2023/12/13 16:22:11:6243| 0| COM89| S |FA52030401
2023-12-13 16:22:11.6257–TRACE–2023/12/13 16:22:11:6322| 0| COM89| Rs |FA0300
2023-12-13 16:22:16.5718–TRACE–2023/12/13 16:22:16:5706| 0| COM89| S |FA52010402
2023-12-13 16:22:16.5842–TRACE–2023/12/13 16:22:16:5841| 0| COM89| Rs |FA0100
2023-12-13 16:22:17.4853–TRACE–2023/12/13 16:22:17:4840| 0| COM89| S |FA52010402
2023-12-13 16:22:17.4948–TRACE–2023/12/13 16:22:17:4948| 0| COM89| Rs |FA0100
2023-12-13 16:22:18.1591–TRACE–2023/12/13 16:22:18:1578| 0| COM89| S |FA52010402
2023-12-13 16:22:18.1591–TRACE–2023/12/13 16:22:18:1655| 0| COM89| Rs |FA0100
2023-12-13 16:22:18.7315–TRACE–2023/12/13 16:22:18:7291| 0| COM89| S |FA52010402
2023-12-13 16:22:18.7315–TRACE–2023/12/13 16:22:18:7406| 0| COM89| Rs |FA0100
2023-12-13 16:22:19.3678–TRACE–2023/12/13 16:22:19:3658| 0| COM89| S |FA52010402
2023-12-13 16:22:19.3795–TRACE–2023/12/13 16:22:19:3795| 0| COM89| Rs |FA0100
2023-12-13 16:22:20.0361–TRACE–2023/12/13 16:22:20:0341| 0| COM89| S |FA52010402
2023-12-13 16:22:20.0503–TRACE–2023/12/13 16:22:20:0503| 0| COM89| Rs |FA0100
2023-12-13 16:22:20.5928–TRACE–2023/12/13 16:22:20:5915| 0| COM89| S |FA52010402
2023-12-13 16:22:20.6094–TRACE–2023/12/13 16:22:20:6094| 0| COM89| Rs |FA0100
2023-12-13 16:22:21.0908–TRACE–2023/12/13 16:22:21:0891| 0| COM89| S |FA52010402
2023-12-13 16:22:21.1055–TRACE–2023/12/13 16:22:21:1055| 0| COM89| Rs |FA0100
2023-12-13 16:22:21.5898–TRACE–2023/12/13 16:22:21:5878| 0| COM89| S |FA52010402
2023-12-13 16:22:21.5898–TRACE–2023/12/13 16:22:21:5997| 0| COM89| Rs |FA0100
2023-12-13 16:22:21.8729–TRACE–2023/12/13 16:22:21:8715| 0| COM89| S |FA52010402
2023-12-13 16:22:21.8873–TRACE–2023/12/13 16:22:21:8873| 0| COM89| Rs |FA0100
2023-12-13 16:22:22.2907–TRACE–2023/12/13 16:22:22:2892| 0| COM89| S |FA52010402
2023-12-13 16:22:22.3026–TRACE–2023/12/13 16:22:22:3026| 0| COM89| Rs |FA0100
2023-12-13 16:22:22.6636–TRACE–2023/12/13 16:22:22:6622| 0| COM89| S |FA52010402
2023-12-13 16:22:22.6700–TRACE–2023/12/13 16:22:22:6700| 0| COM89| Rs |FA0100
2023-12-13 16:22:22.8471–TRACE–2023/12/13 16:22:22:8457| 0| COM89| S |FA52010402
2023-12-13 16:22:22.8618–TRACE–2023/12/13 16:22:22:8618| 0| COM89| Rs |FA0100
2023-12-13 16:22:23.2617–TRACE–2023/12/13 16:22:23:2597| 0| COM89| S |FA52010402
2023-12-13 16:22:23.2771–TRACE–2023/12/13 16:22:23:2771| 0| COM89| Rs |FA0100
2023-12-13 16:22:43.3123–TRACE–2023/12/13 16:22:43:3122| 0| COM89| Rs |00
