2023-12-24 10:00:01.4116–TRACE–2023/12/24 10:00:01:4115| 0|  COM5| S | CommandID    162| FA52010401
2023-12-24 10:00:01.4383–TRACE–2023/12/24 10:00:01:4383| 0|  COM5| R | CommandID    162| FA010A0101020304050607080D0A
2023-12-24 10:00:01.4383–TRACE–2023/12/24 10:00:01:4423| 0|  COM5| S | CommandID    163| FA52020401
2023-12-24 10:00:01.4687–TRACE–2023/12/24 10:00:01:4687| 0|  COM5| R | CommandID    163| FA020A0101020304050607080D0A
2023-12-24 10:00:01.4687–TRACE–2023/12/24 10:00:01:4726| 0|  COM5| S | CommandID    164| FA52030401
2023-12-24 10:00:01.4956–TRACE–2023/12/24 10:00:01:4956| 0|  COM5| R | CommandID    164| FA030A0101020304050607080D0A
2023-12-24 10:00:01.4956–TRACE–2023/12/24 10:00:01:4995| 0|  COM5| S | CommandID    165| FA52010101
2023-12-24 10:00:01.5242–TRACE–2023/12/24 10:00:01:5242| 0|  COM5| R | CommandID    165| FA0103640D0A
2023-12-24 10:00:01.5242–TRACE–2023/12/24 10:00:01:5278| 0|  COM5| S | CommandID    166| FA52020101
2023-12-24 10:00:01.5414–TRACE–2023/12/24 10:00:01:5414| 0|  COM5| R | CommandID    166| FA0203640D0A
2023-12-24 10:00:01.5414–TRACE–2023/12/24 10:00:01:5453| 0|  COM5| S | CommandID    167| FA52030101
2023-12-24 10:00:01.5716–TRACE–2023/12/24 10:00:01:5716| 0|  COM5| R | CommandID    167| FA0303640D0A
2023-12-24 10:00:01.5716–TRACE–2023/12/24 10:00:01:5762| 0|  COM5| S | CommandID    168| FA52010402
2023-12-24 10:00:01.6102–TRACE–2023/12/24 10:00:01:6101| 0|  COM5| R | CommandID    168| FA010400870D0A
2023-12-24 10:00:01.6102–TRACE–2023/12/24 10:00:01:6138| 0|  COM5| S | CommandID    169| FA52020402
2023-12-24 10:00:01.6391–TRACE–2023/12/24 10:00:01:6391| 0|  COM5| R | CommandID    169| FA020400870D0A
2023-12-24 10:00:01.6391–TRACE–2023/12/24 10:00:01:6428| 0|  COM5| S | CommandID    170| FA52030402
2023-12-24 10:00:01.6711–TRACE–2023/12/24 10:00:01:6711| 0|  COM5| R | CommandID    170| FA030400850D0A
