
Time,Loop,Phase,Blockloop,#1 PowerMode,#1 SWversion,#1 HWversion,#1 InputVoltage,#1 Current(A/uA),#1 Current(uA),#1 Diagnostic,#1 Lightsensor,#1 Touch_finger,#1 Touch_XY,#1 Brightness(%),#1 T_chamber,"#1 T_LED1, 2PCB",#1 Diagnostic_raw,#2 SWversion,#2 HWversion,#2 PowerMode,#2 InputVoltage,#2 Current(A/uA),#2 Current(uA),#2 Diagnostic,#2 Lightsensor,#2 Touch_finger,#2 Touch_XY,#2 Brightness(%),#2 T_chamber,"#2 T_LED1, 2PCB",#2 Diagnostic_raw,#3 SWversion,#3 HWversion,#3 PowerMode,#3 InputVoltage,#3 Current(A/uA),#3 Current(uA),#3 Diagnostic,#3 Lightsensor,#3 Touch_finger,#3 Touch_XY,#3 Brightness(%),#3 T_chamber,"#3 T_LED1, 2PCB",#3 Diagnostic_raw
2023/11/23 22:28:57:7175,0,A-1,0,Normal,1.2,3.4,13.3,1.12,,1,56623104,,,100,75,"69, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,Normal,13.3,1,,1,156,,,100,75,"65, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,Normal,13.3,1.36,,1,33,,,100,75,"65, 87, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:00:7764,0,A-1,0,,1.2,3.4,13.5,1.72,,1,150994944,,,100,75,"65, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.12,,1,917504,,,100,75,"67, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.7,1.84,,1,24,,,100,75,"85, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:03:8008,0,A-1,0,,1.2,3.4,13.5,1.8,,1,3801088,,,100,75,"69, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.16,,1,268435456,,,100,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.7,1.56,,1,33792,,,100,75,"67, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:06:8141,0,A-1,0,,1.2,3.4,13.3,1.68,,1,144,,,100,75,"69, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.3,1.08,,1,5242880,,,100,75,"65, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.92,,1,444596224,,,100,75,"67, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:09:8332,0,A-1,0,,1.2,3.4,13.5,1.88,,1,17152,,,100,75,"85, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.92,,1,12544,,,100,75,"67, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.52,,1,117440512,,,100,75,"65, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:12:8529,0,A-1,0,,1.2,3.4,13.7,1.6,,1,1073741824,,,100,75,"65, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.7,1.4,,1,5120,,,100,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.3,1.48,,1,76,,,100,75,"69, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:15:8698,0,A-1,0,,1.2,3.4,13.5,1.52,,1,1310720,,,100,75,"65, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.3,1.48,,1,688128,,,100,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.3,1.32,,1,11008,,,100,75,"65, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:18:8854,0,A-1,0,,1.2,3.4,13.7,1,,1,452984832,,,100,75,"65, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.92,,1,247463936,,,100,75,"69, 89, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,,13.5,1.56,,1,147456,,,100,75,"69, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:27:8232,0,A-2,0,Sleep,1.2,3.4,13.5,,0.01,1,18,,,100,75,"69, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,Sleep,13.5,,0.1,1,720896,,,100,75,"67, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,1.2,3.4,Sleep,13.7,0.1,,1,570425344,,,100,75,"65, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/11/23 22:29:30:8414,0,A-2,0,,,,,,0.1,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,0.03,,,,,,,,,
2023/11/23 22:29:33:8697,0,A-2,0,,,,,,0.11,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.03,,,,,,,,,
