

#,,,,Sample #1,,,,,,,,,,,,Sample #2,,,,,,,,,,,,,Sample #3,,,
#,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,
Time,Loop,Phase,Blockloop,#1 PowerMode,#1 InputVoltage,#1 Current(A/uA),#1 Current(uA),#1 Diagnostic,#1 Lightsensor,#1 Touch_finger,#1 Touch_XY,#1 Brightness(%),#1 T_chamber,"#1 T_LED1, 2PCB",#1 Diagnostic_raw,#2 PowerMode,#2 InputVoltage,#2 Current(A/uA),#2 Current(uA),#2 Diagnostic,#2 Lightsensor,#2 Touch_finger,#2 Touch_XY,#2 Brightness(%),#2 T_chamber,"#2 T_LED1, 2PCB",#2 Diagnostic_raw,#3 PowerMode,#3 InputVoltage,#3 Current(A/uA),#3 Current(uA),#3 Diagnostic,#3 Lightsensor,#3 Touch_finger,#3 Touch_XY,#3 Brightness(%),#3 T_chamber,"#3 T_LED1, 2PCB",#3 Diagnostic_raw
2023/12/24 09:59:40:3114,0,A-1,0,Normal,13.3,5.52,,1,11061,,,100,75,"67, 85, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,Normal,13.7,1.72,,1,5394,,,0,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,Normal,13.5,1.36,,1,14607,,,100,75,"67, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:43:0439,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 09:59:43:5595,0,A-1,0,,13.3,1.64,,1,6473,,,100,95,"69, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.56,,1,2854,,,100,75,"67, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.28,,0,7205,,,100,75,"67, 85, 85",FA 03 0A 00 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:46:0946,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 09:59:46:6097,0,A-1,0,,13.3,1.6,,1,11595,,,100,75,"69, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.7,1.48,,1,15418,,,100,75,"67, 85, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.24,,1,20258,,,100,95,"67, 89, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:49:1501,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 09:59:49:7470,0,A-1,0,,13.5,1.68,,1,10300,,,100,75,"67, 87, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.3,1.6,,1,2860,,,100,75,"65, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.64,,1,16959,,,100,75,"67, 87, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:52:2179,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/24 09:59:52:8457,0,A-1,0,,13.3,1.36,,1,2631,,,100,75,"69, 89, 85",FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,5.2,,1,2888,,,100,75,"69, 87, 85",FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A,,13.5,1.56,,1,13322,,,100,75,"69, 85, 85",FA 03 0A 01 01 02 03 04 05 06 07 08 0D 0A
2023/12/24 09:59:55:2635,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
