*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:12:13:5947,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:13:6475,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:13:7486,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:14:2367,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:14:3483,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:14:4582,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:16:6954,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:16:8177,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:16:9288,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:17:4219,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:17:5360,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:17:6468,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:19:8578,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:19:9936,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:20:1059,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:20:7946,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:20:9205,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:21:0339,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:23:0349,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:23:1479,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:23:2597,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:24:0240,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:24:1360,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:24:2592,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:26:2139,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:26:3192,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:26:4487,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:27:1936,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:27:3068,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:27:4327,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:29:3579,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:29:4895,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:29:6019,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:30:3223,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:30:4341,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:30:5655,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:32:5598,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:32:8040,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:32:9694,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:33:7410,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:33:9060,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:34:0291,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:35:7584,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:35:8737,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:35:9847,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:36:7595,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:36:8824,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:37:0152,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:38:8537,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:38:9870,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:39:1204,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:39:9319,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:40:0537,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:40:1878,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:42:0224,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:42:1437,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:42:2631,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:43:0080,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:43:1287,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:43:2512,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:45:1946,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:45:3175,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:45:4507,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:45:9697,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:46:0951,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:46:2085,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:48:3469,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:48:4690,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:48:5700,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:49:1762,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:49:2960,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:49:4280,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:51:5095,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:51:6215,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:51:7339,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:52:1765,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:52:2870,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:52:4091,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:54:6632,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:54:7757,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:54:8847,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:55:5278,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:55:6519,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:55:7537,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:12:57:8000,,,,NULL,FA 52 01 04 01,
2023/12/29 11:12:57:9115,,,,NULL,FA 52 02 04 01,
2023/12/29 11:12:58:0339,,,,NULL,FA 52 03 04 01,
2023/12/29 11:12:58:6998,,,,NULL,FA 52 01 06 01,
2023/12/29 11:12:58:8078,,,,NULL,FA 52 02 06 01,
2023/12/29 11:12:58:9190,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:13:00:9858,,,,NULL,FA 52 01 04 01,
2023/12/29 11:13:01:0984,,,,NULL,FA 52 02 04 01,
2023/12/29 11:13:01:2212,,,,NULL,FA 52 03 04 01,
2023/12/29 11:13:01:9357,,,,NULL,FA 52 01 06 01,
2023/12/29 11:13:02:0573,,,,NULL,FA 52 02 06 01,
2023/12/29 11:13:02:1791,0,A-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:13:04:1322,,,,NULL,FA 52 01 04 01,
2023/12/29 11:13:04:2326,,,,NULL,FA 52 02 04 01,
