

#,,,,Sample #1,,,,,,,,,,,,Sample #2,,,,,,,,,,,,,Sample #3,,,
#,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,,,,,Spec,,show min spec,show min spec,,show min spec,OK: 1 finger NG:other,Center X Y +/-10%,
Time,Loop,Phase,Blockloop,#1 PowerMode,#1 InputVoltage,#1 Current(A/uA),#1 Current(uA),#1 Diagnostic,#1 Lightsensor,#1 Touch_finger,#1 Touch_XY,#1 Brightness(%),#1 T_chamber,"#1 T_LED1, 2PCB",#1 Diagnostic_raw,#2 PowerMode,#2 InputVoltage,#2 Current(A/uA),#2 Current(uA),#2 Diagnostic,#2 Lightsensor,#2 Touch_finger,#2 Touch_XY,#2 Brightness(%),#2 T_chamber,"#2 T_LED1, 2PCB",#2 Diagnostic_raw,#3 PowerMode,#3 InputVoltage,#3 Current(A/uA),#3 Current(uA),#3 Diagnostic,#3 Lightsensor,#3 Touch_finger,#3 Touch_XY,#3 Brightness(%),#3 T_chamber,"#3 T_LED1, 2PCB",#3 Diagnostic_raw
2023/12/29 11:12:14:4548,0,A-1,0,Normal,13.3,1.38,,,632,,,100,33,"0, 0, 54",,Normal,13.2,1.36,,,773,,,100,32,"0, 0, 51",,Normal,12.6,1.37,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:16:5615,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:17:6428,0,A-1,0,,13.3,1.35,,,632,,,100,33,"0, 0, 54",,,13.2,1.57,,,774,,,100,33,"0, 0, 51",,,12.6,1.35,,,2292,,,100,33,"0, 0, 51",
2023/12/29 11:12:19:7199,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:21:0282,0,A-1,0,,13.3,1.33,,,633,,,100,33,"0, 0, 54",,,13.2,1.33,,,775,,,100,33,"0, 0, 51",,,12.6,1.48,,,2293,,,100,33,"0, 0, 51",
2023/12/29 11:12:22:8803,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:24:2548,0,A-1,0,,13.3,1.4,,,632,,,100,33,"0, 0, 54",,,13.2,1.37,,,775,,,100,33,"0, 0, 51",,,12.6,1.41,,,2291,,,100,33,"0, 0, 51",
2023/12/29 11:12:26:0455,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:27:4317,0,A-1,0,,13.3,1.33,,,633,,,100,33,"0, 0, 54",,,13.2,1.41,,,773,,,100,33,"0, 0, 51",,,12.6,1.32,,,2293,,,100,33,"0, 0, 51",
2023/12/29 11:12:29:2187,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:30:5582,0,A-1,0,,13.3,1.38,,,633,,,100,33,"0, 0, 54",,,13.2,1.34,,,775,,,100,33,"0, 0, 51",,,12.6,1.34,,,2294,,,100,33,"0, 0, 51",
2023/12/29 11:12:32:3875,0,A-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/12/29 11:12:34:0220,0,A-1,0,,13.3,1.23,,,632,,,100,33,"0, 0, 54",,,13.2,1.49,,,775,,,100,33,"0, 0, 51",,,12.6,1.49,,,2291,,,100,33,"0, 0, 51",
