#1 SWversion,1.2
#1 HWversion,3.4
#1 PowerMode,Normal
#1 InputVoltage,13.7
#1 Current(A/uA),1.68
#1 Current(uA),
#1 Diagnostic,1
#1 Lightsensor,-2147483648
#1 Touch_finger,
#1 Touch_XY,
#1 Brightness(%),100
#1 T_chamber,75
"#1 T_LED1, msg = 2PCB","69, 89, 85"
#1 Diagnostic_raw,FA 01 0A 01 01 02 03 04 05 06 07 08 0D 0A
#1 CurrentList,"1.12, , 1.12, , 1.44, , 1.52, , 1, , 1.68, , 1.2, , 1.2, , 1.48, , 1.68, , "

#2 SWversion,1.2
#2 HWversion,3.4
#2 PowerMode,Normal
#2 InputVoltage,13.5
#2 Current(A/uA),1.56
#2 Current(uA),
#2 Diagnostic,1
#2 Lightsensor,1024
#2 Touch_finger,
#2 Touch_XY,
#2 Brightness(%),100
#2 T_chamber,75
"#2 T_LED1, msg = 2PCB","65, 87, 85"
#2 Diagnostic_raw,FA 02 0A 01 01 02 03 04 05 06 07 08 0D 0A
#2 CurrentList,"1, , 1.8, , 1.2, , 1.8, , 1.72, , 1.56, , "

#3 SWversion,3.4
#3 HWversion,3.4
#3 PowerMode,Normal
#3 InputVoltage,13.3
#3 Current(A/uA),1.6
#3 Current(uA),
#3 Diagnostic,1
#3 Lightsensor,6400
#3 Touch_finger,
#3 Touch_XY,
#3 Brightness(%),1
#3 T_chamber,75
"#3 T_LED1, msg = 2PCB","67, 85, 85"
#3 Diagnostic_raw,FA 03 04 01 02 0D 0A
#3 CurrentList,", 1.56, , 1.16, , 1.6, , 1.24, , 1.72, , 16.77, , 1.2, , 74.28, , 1.24, , 54.2, , 1.6, , "
